Time(s),CO%,Ar MFC (sccm),CO2 MFC (sscm),Temprature (°C)
70.00104150001425,0.02,119.9590072631836,0.0,28.0
71.0007859999896,0.02,119.96980285644531,0.0,28.0
72.00193149998086,0.02,119.91197204589844,0.0,28.0
73.00429130002158,0.02,119.93842315673828,0.0,28.0
74.00243739999132,0.01,119.95648956298828,0.0,28.0
75.00101399997948,0.01,119.92720031738281,0.0,28.0
76.00095879996661,0.01,119.96868133544922,0.0,28.0
77.00178390002111,0.01,119.90467071533203,0.0,28.0
78.00217940000584,0.02,119.96624755859375,0.0,28.0
79.00194360001478,0.01,119.8979263305664,0.0,28.0
80.00125969998771,0.01,119.98884582519531,0.0,28.0
81.00483930000337,0.01,119.9885482788086,0.0,28.0
82.00114619999658,0.01,119.95503997802734,0.0,28.1
83.00098000001162,0.01,120.0023193359375,0.0,28.1
84.00554769998416,0.02,120.01850128173828,0.0,28.1
85.0021658000187,0.02,120.01757049560547,0.0,28.1
86.00496759999078,0.02,119.90724182128906,0.0,28.1
87.00141869997606,0.02,119.89761352539062,0.0,28.1
88.00369889999274,0.01,119.95626831054688,0.0,28.1
89.00134730001446,0.02,120.01921844482422,0.0,28.1
90.00114629999734,0.02,119.9715805053711,0.0,28.1
91.00213099998655,0.02,119.98059844970703,0.0,28.1
92.00234569999157,0.02,119.9886245727539,0.0,28.1
93.00497670000186,0.02,119.98989868164062,0.0,28.1
94.00350200000685,0.02,120.00811004638672,0.0,28.1
95.00278149999212,0.02,119.96755981445312,0.0,28.1
96.0055788999889,0.02,119.9404067993164,0.0,28.1
97.00609570002416,0.02,119.98741149902344,0.0,28.1
98.00529940001434,0.02,119.98735046386719,0.0,28.1
99.00167229998624,0.02,119.91645812988281,0.0,28.1
100.00185519998195,0.02,120.02149963378906,0.0,28.1
101.00529329996789,0.02,120.00621032714844,0.0,28.1
102.00235680001788,0.02,119.98150634765625,0.0,28.1
103.003527999972,0.02,119.97593688964844,0.0,28.1
104.00163309997879,0.02,120.04523468017578,0.0,28.1
105.0025605999981,0.02,120.01703643798828,0.0,28.1
106.00129159999778,0.02,120.00675201416016,0.0,28.1
107.00174189999234,0.02,119.98257446289062,0.0,28.1
108.00477830000455,0.02,120.04061126708984,0.0,28.1
109.00222019996727,0.02,119.95210266113281,0.0,28.1
110.00086680002278,0.01,120.00785827636719,0.0,28.1
111.0040645999834,0.01,120.01214599609375,0.0,28.1
112.00246749998769,0.02,120.07793426513672,0.0,28.1
113.001595299982,0.02,120.01376342773438,0.0,28.1
114.00801519997185,0.02,119.9879379272461,0.0,28.1
115.00839259999339,0.02,119.94203186035156,0.0,28.1
116.00342640001327,0.02,120.06942749023438,0.0,28.1
117.00801849999698,0.02,119.96562194824219,0.0,28.1
118.00252530002035,0.02,120.0256576538086,0.0,28.1
119.02216459996998,0.02,120.00855255126953,0.0,28.1
120.00616990000708,0.02,120.06449890136719,0.0,28.1
121.00541079998948,0.03,119.98880004882812,0.0,28.1
122.00315589999082,0.03,120.00531005859375,0.0,28.1
123.00317280000309,0.03,119.92919158935547,0.0,28.1
124.00292339996668,0.03,119.95800018310547,0.0,28.1
125.00201090000337,0.03,119.97356414794922,0.0,28.1
126.00303999998141,0.02,120.06330108642578,0.0,28.1
127.00137010001345,0.02,119.90849304199219,0.0,28.1
128.00218269997276,0.02,120.03630065917969,0.0,28.1
129.00117730000056,0.02,119.9887466430664,0.0,28.1
130.00208900001599,0.03,120.04204559326172,0.0,28.1
131.00583589996677,0.03,0.0,0.0,28.1
132.00347100000363,0.03,0.0,0.0,28.1
133.00562740000896,0.03,0.0,0.0,28.1
134.0055162999779,0.03,0.0,0.0,28.1
135.0053501999937,0.03,0.0,0.0,28.1
136.0008427000139,0.04,0.0,0.0,28.1
137.00157319998834,0.04,0.0,0.0,28.1
138.0046964000212,0.04,0.0,0.0,28.1
139.00228329998208,0.04,0.0,0.0,28.1
140.0068601000239,0.04,0.0,0.0,28.1
141.00634730001912,0.04,0.0,0.0,28.1
142.00310349999927,0.04,0.0,0.0,28.1
