Time(s),CO%,Ar MFC (sccm),CO2 MFC (sscm),Temprature (°C)
1869.0050664999872,0.03,49.933807373046875,51.5050163269043,28.1
1870.0183068999904,0.04,50.047916412353516,51.398860931396484,28.1
1871.0082941999426,0.03,50.03025817871094,51.43083190917969,28.1
1872.0040951999836,0.03,50.00278854370117,51.40625762939453,28.1
1873.0043401999865,0.03,49.960140228271484,51.54623031616211,28.1
1874.0044673999655,0.03,50.04171371459961,51.348270416259766,28.1
1875.0058061999734,0.03,49.920352935791016,51.55305480957031,28.1
1876.0039557999698,0.03,50.063255310058594,51.4521484375,28.1
1877.0045356999617,0.02,49.96757507324219,51.46622085571289,28.1
1878.0039587999927,0.02,50.050498962402344,51.380802154541016,28.1
1879.0048184999614,0.02,49.91084289550781,51.57193374633789,28.1
1880.0062229999457,0.03,50.02732849121094,51.41017150878906,28.1
1881.0056428999524,0.03,49.87895965576172,51.64147186279297,28.1
1882.0062123999815,0.02,50.05554962158203,51.37147521972656,28.1
1883.020456499944,0.02,49.89958572387695,51.59938049316406,28.1
1884.0055589999538,0.02,50.019962310791016,51.473167419433594,28.1
1885.0044458999764,0.03,49.87959671020508,51.55204772949219,28.1
1886.0048127999762,0.03,50.06369400024414,51.470611572265625,28.1
1887.005617799994,0.02,49.98646545410156,51.55043411254883,28.1
1888.0056395999854,0.02,50.025691986083984,51.44947814941406,28.1
1889.007800399966,0.02,49.9306755065918,51.5399284362793,28.1
1890.007319199969,0.02,50.02079772949219,51.39665603637695,28.1
1891.0066074999631,0.03,49.909088134765625,51.48771286010742,28.1
1892.0055491999956,0.03,50.08036804199219,51.464385986328125,28.1
1893.0049734999775,0.02,49.9589729309082,51.56211853027344,28.1
1894.0058247999987,0.02,50.10270309448242,51.42108917236328,28.1
1895.0051573999808,0.03,49.91398239135742,51.53499221801758,28.1
1896.0176245999755,0.03,50.090213775634766,51.51189422607422,28.1
1897.009239099978,0.02,49.9994010925293,51.57590103149414,28.1
1898.0083735999651,0.02,50.006385803222656,51.47837829589844,28.1
1899.007259099977,0.02,49.95273971557617,51.45957565307617,28.1
1900.0061111999676,0.02,50.08104705810547,51.430912017822266,28.1
1901.0075601999997,0.02,49.96913146972656,51.56511688232422,28.1
1902.0045859999955,0.02,50.01044845581055,51.480323791503906,28.1
1903.0063731999835,0.02,49.938106536865234,51.62185287475586,28.1
1904.0056548999855,0.02,49.9898567199707,51.439308166503906,28.1
1905.0077699999674,0.02,49.933868408203125,51.5276985168457,28.1
1906.0040036999853,0.02,50.018760681152344,51.50779724121094,28.1
1907.0085872999625,0.02,49.964500427246094,51.46332931518555,28.1
1908.0048055999796,0.02,50.088138580322266,51.52184295654297,28.1
1909.010693899996,0.02,49.932193756103516,51.55269241333008,28.1
1910.008699099999,0.03,49.99951171875,51.47823715209961,28.1
1911.0092726000003,0.03,50.02592468261719,51.48756790161133,28.1
1912.0044444999658,0.03,50.00120544433594,51.46174240112305,28.1
